Image Name,GPT-4 Vision Caption
num1040Thousands.svg,Número uno grande y blanco.
segmentDiagram.svg,Paso de niveles o etapas.
SC1_back.svg,Erizo en charca nocturna relajante.
digit1.svg,Número uno en color negro.
four.svg,Niña riendo y corriendo felizmente.
target12Back.svg,Imagen en negro sólida.
rightArrow.svg,Flecha blanca apuntando a la derecha.
nut1.svg,Bellota; color marrón; otoño; naturaleza.
num13Card.svg,Tres bloques con número trece.
card3000_SQ1.svg,"Números ""3000"" en cuadros morados."
two.svg,El número dos en fuerte.
num6.svg,Número seis en estilo digital.
circle4.svg,Círculos de colores y líneas.
equal.svg,Marioneta azul boca abierta.
board2.svg,Tabla de madera color marrón.
ball3.svg,Tres rectángulos verdes brillantes.
numCard50.svg,Números cincuenta en círculos verdes.
bundle5.svg,Paquete de lápices azules juntos.
digit5.svg,Número cinco en negrita.
card14.svg,Números catorce en piedras moradas.
box2.svg,Cuatro bloques con símbolos geométricos.
target3.svg,Círculo negro con línea discontinua.
pen.svg,"Dos blancos, dos azules, plumas."
target2.svg,Marco punteado rectangular blanco y negro.
cardQuestionMark.svg,Tres círculos con signos de interrogación.
Ruby.svg,Niña alegre saltando con entusiasmo.
numCard9.svg,Tres racimos de moras con número nueve.
num10digit1.svg,Número uno colorido.
dog3.svg,Perro conduciendo coche rojo.
graphAnts5.svg,Hormiga caricaturesca sorprendida.
squareTarget4.svg,Forma de onda musical animada.
rightCell2.svg,Tarjeta amarilla con texto oscuro.
plus.svg,Signo de más blanco y cuadrado.
rabbit.svg,Conejito con suma 8 + 6.
layerTargets.svg,Imagen completamente negra.
penny3.svg,Templo clásico en un círculo.
SC1_stem2.svg,﻿Palo de madera claro.
text3.svg,
cardRazzle.svg,"Texto ""Razzle"" en botones morados."
groupA6.svg,Pelota de baloncesto anaranjada.
position14.svg,Círculo blanco sobre fondo negro.
obj57.svg,
cr1.svg,Tres cocodrilos rosados sonrientes.
back.svg,Coches de carreras en taller colorido.
numCard0.svg,Tres números cero en filas.
blueSquirrel.svg,"Animal azul, caricaturesco y amistoso."
card50.svg,Cartas de monstruos sonrientes azules.
fiftySeven.svg,"Número cincuenta y siete, en negro."
numCard1.svg,Número uno en bloque beige.
star2.svg,Estrella rosa con un ojo.
numCard5.svg,Tres fichas con el número cinco.
highlight1.svg,Dos rectángulos amarillos sobre blanco.
dollarSignSophia.svg,Símbolo de dólar negro simple.
plate.svg,Perrito feliz con collar.
row10.svg,El número diez.
num7a.svg,Número siete en estilo digital.
segment2.svg,Lupa de detección o búsqueda.
numCard4.svg,Tres círculos con número cuatro.
step1Two.svg,Niño feliz en traje espacial.
num9Card1.svg,Tres fichas del número nueve.
seven.svg,Número siete en color negro.
dragon10.svg,Dinosaurio morado sonriente y simpático.
bundleTarget2.svg,Marco de líneas discontinuas rectangulares.
numCard7.svg,Tres fichas con número siete.
SC3_a_thirdNumber6.svg,Número seis grande en azul.
SC1_target3.svg,Tarjeta blanca con borde punteado.
thing2.svg,Elefante morado redondo y sonriente.
num190digits90.svg,Número noventa en blanco brillante.
sumOnes9.svg,Un plátano amarillo brillante.
blueButterfly5.svg,Mariposa colorida con alas grandes.
tile81E.svg,"Números y letra grandes, coloridos."
SC1_plus1.svg,Cruz negra simple en blanco.
targetBottomMedium.svg,Niños riendo y divirtiéndose juntos.
penny.svg,Tres monedas de un centavo.
fiveHouse.svg,Casa de números del uno al cinco.
SC1_target1.svg,"Línea de puntos, contorno rectangular."
object6.svg,Botón redondo con triángulo naranja.
SC1_a_secondNumber6.svg,Un número seis color marrón.
roof6.svg,Tres triángulos con número seis.
exp1.svg,Suma simple: cuatro más dos.
expression3.svg,Nubes de matemáticas: sumar números.
numCard9_SQ3.svg,Números nueve en tarjetas blancas.
SC1_helperbox1.svg,Tablero con columnas de números.
roof1.svg,Tres flechas amarillas con número.
arrowSecond1.svg,Flecha blanca apuntando arriba a la derecha.
equation2.svg,Manzana más plátano igual sorpresa.
point5.svg,"Púrpura, forma de diamante."
caterpillar14.svg,Gusano morado sonriente animado.
roof0.svg,Montaña de arena para jugar.
