Image Name,GPT-4 Vision Caption
segmentDiagram-47e68ca9,Path with numbers one to six.
SC1_back-916a94ce,"Hedgehog, leaves, apples, plums, stick."
nut1-fa51a80f,Acorn
num13Card-5e3a50c1,Three blocks with number thirteen.
card3000_SQ1-68b729e8,"Three purple boxes with ""3,000""."
two-38b81bdd,Number two.
num6-388b486b,Number six.
circle4-861b35b4,"Four circles, 0 to 3 filled."
board2-19a0752f,Wooden plank with swirl patterns.
ball3-1cf95174,Three green rectangles.
numCard50-adcbb4f5,Green circles with number 50.
bundle5-d06d4f9b,Twelve blue sticks with ribbon.
card14-297ddfc3,Purple stones with number 14.
box2-7edcbbca,Equation puzzle with empty boxes.
target3-ebe746b6,Dotted circle outline
pen-354110fc,"Pen, pen, pen, pen."
target2-db5bf3bf,Ticket with dashed border.
cardQuestionMark-946bb892,Three question marks in circles.
Ruby-fa41d0fe,Smiling cartoon girl jumping.
numCard9-05bd4925,Berries with number nine.
dog3-c73ac221,Three cartoon dogs driving cars.
graphAnts5-9d3d4e60,Purple cartoon ant with big eyes.
squareTarget4-ce6d6f80,Number eight with square edges.
rightCell2-cb2ca8f3,Ones card
rabbit-0e79d572,"Brown bunny, numbers 8 + 6."
layerTargets-39760c0e,Starfish with five arms.
penny3-384a4576,Building icon on circular background.
text3-8c0468ba,Three hundred twenty in bold.
cardRazzle-31366173,"Purple buttons with ""Razzle"" text."
groupA6-36498243,Basketball
obj57-6e7b780f,Orange seashell with lines.
cr1-1ed05677,Three pink cartoon alligators.
back-23f813d8,"Two racing cars, red and blue."
numCard0-88a1e735,Three zero cards in row.
blueSquirrel-86530916,Blue cartoon fox with teeth.
card50-632fde8b,Three monster cards with number 50.
fiftySeven-3373a963,Number fifty-seven.
numCard1-ee0f07e2,Number one tile
star2-41eeb412,Pink star with one eye.
numCard5-610a05ad,Three cards with number five.
plate-9ae2b3dd,"Black ghost face, two eyes."
row10-e9d5ab1c,Number ten.
segment2-dcc9741d,Brown slingshot icon.
numCard4-96139e08,Three circles with number four.
num9Card1-4aeea15e,Tiles with the number nine.
dragon10-3f4359cd,Purple cartoon dragon with wings.
bundleTarget2-5ce0d96d,White dotted rectangle border.
numCard7-e72cc982,Three number seven tiles.
SC3_a_thirdNumber6-98141994,Blue number six.
SC1_target3-21cd4245,Rectangle with dashed border.
thing2-3fd6a990,Purple cartoon elephant.
num190digits90-e22c5885,Number ninety.
sumOnes9-23ef0bda,Yellow banana.
blueButterfly5-576bf3e9,Blue butterfly with brown body.
tile81E-e9a2d919,Blocks with 81 and A.
penny-b823a9c7,"Three brown coins labeled ""2005""."
fiveHouse-4313ad5d,House with numbers 1 to 5.
SC1_target1-3e50376d,Dashed border rectangle graphic.
object6-518ed083,Orange triangle button.
SC1_a_secondNumber6-fd6d9cb6,Brown number six.
roof6-16fd4c1e,Three triangles with number six.
exp1-b04aba0c,Math equation: 4 plus 2 equals 6.
expression3-60ff41ea,"Four stones, 40 + 32."
numCard9_SQ3-0578dd7d,Three number nines on cards.
SC1_helperbox1-f0e5d442,Tens and Ones chart.
roof1-af64da31,Yellow triangles with number 16.
arrowSecond1-7dad61af,Arrow pointing up and right.
equation2-ea885d08,Four plus two equals six.
caterpillar14-3029496a,Purple cartoon worm smiling.
roof0-af4226a3,Triangle-shaped pastry.
