Image Name,GPT-4 Vision Caption
num1040Thousands.svg,Number one.
segmentDiagram.svg,"Counting numbers: 1, 5, 6."
SC1_back.svg,"Leaves, fruit, and hedgehog by pond."
digit1.svg,Number one symbol.
four.svg,Five-pointed yellow star.
target12Back.svg,Dice showing five black dots.
rightArrow.svg,White right arrow sign.
nut1.svg,Acorn
num13Card.svg,Three boxes with number thirteen.
card3000_SQ1.svg,"The numbers ""3,000"" in purple."
two.svg,Number two.
num6.svg,Dark gray number six.
circle4.svg,"0/4, 1/4, 2/4, 3/4 circles"
equal.svg,Equals sign symbol.
board2.svg,Wooden sign with wavy pattern.
ball3.svg,Three green rectangles outlined in white.
numCard50.svg,Green circles with number 50.
bundle5.svg,Ten blue sticks bundled together.
digit5.svg,The number five.
card14.svg,Purple rocks with number 14.
box2.svg,Math puzzle: blank equals blank plus blank.
target3.svg,Dotted circle.
pen.svg,Four pink pens in a row.
target2.svg,"Two dice showing five, three."
cardQuestionMark.svg,Three question mark bubbles.
Ruby.svg,Cartoon girl jumping with joy.
numCard9.svg,Three clusters of berries with nines.
num10digit1.svg,Number one.
dog3.svg,Three cartoon dogs in cars.
graphAnts5.svg,Cartoon ant with big eyes.
squareTarget4.svg,Zero.
rightCell2.svg,"Card with the word ""Ones."""
plus.svg,Plus sign symbol.
rabbit.svg,Bunny with addition 8 + 6.
layerTargets.svg,Black square with four edges.
penny3.svg,"Round brown coin, 10 columns."
SC1_stem2.svg,Magic wand with sparkles.
text3.svg,The image shows the number 320.
cardRazzle.svg,"Three purple rectangles with ""Razzle""."
groupA6.svg,Basketball
position14.svg,White circle on black background.
obj57.svg,"Certainly! To provide an accurate description, please upload the image or give me specifics about it."
cr1.svg,Three pink cartoon alligators.
back.svg,"Two toy race cars, red, blue."
numCard0.svg,Three zeroes in a row.
blueSquirrel.svg,Cartoon blue fox with teeth.
card50.svg,Three cards with cartoon germs.
fiftySeven.svg,Number fifty-seven.
numCard1.svg,Number one block.
star2.svg,Pink smiling star character.
numCard5.svg,Three cards with number five.
highlight1.svg,"Two yellow rectangles, different sizes."
dollarSignSophia.svg,Dollar sign symbol.
plate.svg,Two black and white pandas.
row10.svg,Number ten.
num7a.svg,Number seven.
segment2.svg,Brown slingshot.
numCard4.svg,Three blue circles with number 4.
step1Two.svg,Heart shape.
num9Card1.svg,Three number tiles showing 9.
seven.svg,Number seven.
dragon10.svg,Purple cartoon dragon with wings.
bundleTarget2.svg,A dotted rectangle shape.
numCard7.svg,Three number seven tiles.
SC3_a_thirdNumber6.svg,Blue number six.
SC1_target3.svg,Dotted rectangle shape outline.
thing2.svg,Purple elephant with six legs.
num190digits90.svg,Number 90 in white.
sumOnes9.svg,Banana
blueButterfly5.svg,Illustration: Blue butterfly with patterns.
tile81E.svg,"Card with ""81 A"" on it."
SC1_plus1.svg,Plus symbol.
targetBottomMedium.svg,Five-pointed star shape.
penny.svg,"Three pennies showing Lincoln, 2005."
fiveHouse.svg,House-shaped number puzzle: 1-5
SC1_target1.svg,Nine-dot domino tile
object6.svg,Orange triangle on round button.
SC1_a_secondNumber6.svg,Brown number six.
roof6.svg,Triangles with number six.
exp1.svg,Math equation: four plus two equals six.
expression3.svg,"Four stones: two pink, two white."
numCard9_SQ3.svg,Three tiles with the number nine.
SC1_helperbox1.svg,Tens and Ones chart.
roof1.svg,"Three yellow triangular blocks, sixteen."
arrowSecond1.svg,Upward arrow symbol
equation2.svg,One plus two equals three.
point5.svg,Purple diamond symbol.
caterpillar14.svg,Purple worm with a smile.
roof0.svg,Triangular pastry or samosa.
